ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
(+)E1A_r60_a97	9.03e-53	4.14e-57	3.07e+02		
(+)E1A_r60_n9	9.03e-53	4.94e-57	3.06e+02		
DCP_1_0	9.03e-53	6.59e-57	3.05e+02		
DCP_1_1	2.36e-52	2.38e-56	2.99e+02		
(+)E1A_r60_1	2.36e-52	2.87e-56	2.98e+02		
DCP_1_2	9.47e-51	1.38e-54	2.81e+02		
(+)E1A_r60_n11	1.10e-49	1.87e-53	2.70e+02		
DCP_1_4	4.52e-46	9.30e-50	2.36e+02		
(+)E1A_r60_a135	4.52e-46	9.91e-50	2.36e+02		
A_23_P4112	2.92e-41	7.10e-45	1.96e+02	PYY	peptide YY
A_23_P324754	8.93e-41	2.39e-44	1.92e+02	CEMIP	cell migration inducing hyaluronan binding protein
DCP_1_7	3.70e-39	1.08e-42	1.80e+02		
A_32_P161855	4.94e-39	1.56e-42	1.79e+02	CEMIP	cell migration inducing hyaluronan binding protein
A_23_P49155	1.72e-37	5.87e-41	1.68e+02	CDH3	cadherin 3
DCP_20_0	3.42e-37	1.25e-40	1.66e+02		
DCP_20_1	3.37e-36	1.31e-39	1.59e+02		
(+)E1A_r60_a20	9.65e-36	3.99e-39	1.56e+02		
DCP_22_0	7.81e-35	3.42e-38	1.50e+02		
(+)E1A_r60_a22	1.77e-34	8.19e-38	1.47e+02		
A_24_P232790	3.05e-33	1.48e-36	1.39e+02		
A_23_P70827	3.23e-33	1.65e-36	1.39e+02	KIAA1549	KIAA1549
A_24_P331704	5.79e-33	3.24e-36	1.37e+02	KRT80	keratin 80
DCP_20_3	5.79e-33	3.24e-36	1.37e+02		
A_24_P133905	6.11e-33	3.57e-36	1.37e+02	CCL23	C-C motif chemokine ligand 23
A_23_P252817	1.33e-32	8.10e-36	1.35e+02	SST	somatostatin
A_23_P253046	3.00e-32	1.90e-35	1.33e+02	UGP2	UDP-glucose pyrophosphorylase 2
A_23_P69617	1.40e-31	9.20e-35	1.29e+02	UNC5C	unc-5 netrin receptor C
A_23_P106656	2.78e-31	1.90e-34	1.27e+02	CA7	carbonic anhydrase 7
A_23_P251412	4.39e-31	3.10e-34	1.26e+02	SCGN	secretagogin, EF-hand calcium binding protein
A_23_P120644	7.35e-31	5.37e-34	1.24e+02		
A_24_P251381	1.32e-30	9.94e-34	1.23e+02	NHEJ1	non-homologous end joining factor 1
DCP_22_2	4.29e-30	3.34e-33	1.20e+02		
A_24_P650482	9.00e-30	7.22e-33	1.18e+02	PCBP1-AS1	PCBP1 antisense RNA 1
A_23_P145846	2.06e-29	1.71e-32	1.16e+02	MET	MET proto-oncogene, receptor tyrosine kinase
A_23_P342654	7.91e-29	6.74e-32	1.13e+02	PALM2-AKAP2	PALM2-AKAP2 readthrough
A_24_P548866	4.03e-28	3.53e-31	1.09e+02	HIGD1A	HIG1 hypoxia inducible domain family member 1A
A_23_P9932	6.60e-28	5.94e-31	1.08e+02	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
A_32_P164246	8.39e-28	7.75e-31	1.07e+02	FOXQ1	forkhead box Q1
A_23_P97181	8.77e-28	8.33e-31	1.07e+02	GREM2	gremlin 2, DAN family BMP antagonist
A_24_P227831	1.12e-27	1.09e-30	1.06e+02		
A_23_P135857	1.56e-27	1.56e-30	1.06e+02	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3
A_24_P165949	3.05e-27	3.12e-30	1.04e+02	CLDN1	claudin 1
A_32_P121424	5.09e-27	5.41e-30	1.03e+02	ATP6V0D2	ATPase H+ transporting V0 subunit d2
A_32_P117453	5.09e-27	5.45e-30	1.03e+02		
A_23_P213424	5.46e-27	5.98e-30	1.03e+02	ENC1	ectodermal-neural cortex 1
A_23_P165457	1.12e-26	1.26e-29	1.01e+02	CRYBA2	crystallin beta A2
A_24_P698125	1.77e-26	2.06e-29	1.00e+02	GLDN	gliomedin
A_32_P709998	1.77e-26	2.06e-29	9.99e+01	OTOP2	otopetrin 2
A_23_P84084	2.27e-26	2.70e-29	9.94e+01	GFRA2	GDNF family receptor alpha 2
A_23_P137931	2.70e-26	3.28e-29	9.89e+01	ADORA3	adenosine A3 receptor
A_23_P126057	1.00e-25	1.24e-28	9.61e+01	SCP2	sterol carrier protein 2
A_23_P13914	1.26e-25	1.59e-28	9.55e+01	DHX37	DEAH-box helicase 37
A_32_P27046	1.31e-25	1.68e-28	9.54e+01	CHGA	chromogranin A
A_23_P256542	1.31e-25	1.76e-28	9.53e+01	FAM162A	family with sequence similarity 162 member A
A_23_P145844	1.31e-25	1.76e-28	9.53e+01	MET	MET proto-oncogene, receptor tyrosine kinase
A_32_P60687	1.49e-25	2.04e-28	9.50e+01		
A_24_P709844	1.51e-25	2.10e-28	9.50e+01		
A_23_P68669	1.51e-25	2.13e-28	9.49e+01	CHODL	chondrolectin
A_23_P51787	1.53e-25	2.20e-28	9.49e+01	AMPD1	adenosine monophosphate deaminase 1
A_23_P52761	1.53e-25	2.23e-28	9.48e+01	MMP7	matrix metallopeptidase 7
A_23_P168443	3.26e-25	4.84e-28	9.32e+01	EPHB4	EPH receptor B4
A_32_P157213	3.50e-25	5.28e-28	9.30e+01		
A_23_P256425	4.81e-25	7.38e-28	9.23e+01	ADAMDEC1	ADAM like decysin 1
A_23_P347100	1.31e-24	2.03e-27	9.02e+01		
A_23_P111657	1.40e-24	2.22e-27	9.00e+01	SHH	sonic hedgehog
A_23_P212354	1.54e-24	2.48e-27	8.98e+01	CCR2	C-C motif chemokine receptor 2
A_23_P51754	3.00e-24	4.89e-27	8.84e+01	RAP1A	RAP1A, member of RAS oncogene family
A_23_P329822	3.37e-24	5.58e-27	8.81e+01	GREM2	gremlin 2, DAN family BMP antagonist
A_23_P139635	3.46e-24	5.81e-27	8.81e+01	DAO	D-amino acid oxidase
A_23_P125705	3.75e-24	6.39e-27	8.79e+01	NAP1L2	nucleosome assembly protein 1 like 2
A_32_P213831	5.02e-24	8.67e-27	8.72e+01	STRIP2	striatin interacting protein 2
A_24_P389843	5.02e-24	8.80e-27	8.72e+01	CEP164	centrosomal protein 164
A_24_P40626	5.25e-24	9.35e-27	8.71e+01	GREM2	gremlin 2, DAN family BMP antagonist
A_23_P127627	5.25e-24	9.46e-27	8.71e+01	DGKZ	diacylglycerol kinase zeta
A_23_P25336	7.31e-24	1.33e-26	8.64e+01	GLTP	glycolipid transfer protein
A_32_P140139	7.67e-24	1.42e-26	8.63e+01	F13A1	coagulation factor XIII A chain
A_23_P54573	8.61e-24	1.61e-26	8.60e+01	ZFPM1	zinc finger protein, FOG family member 1
A_24_P272160	9.22e-24	1.75e-26	8.58e+01	NBEAL2	neurobeachin like 2
A_32_P86456	9.56e-24	1.84e-26	8.57e+01		
A_23_P12572	1.10e-23	2.14e-26	8.54e+01	CASP7	caspase 7
A_24_P96505	1.14e-23	2.24e-26	8.53e+01	GFRA2	GDNF family receptor alpha 2
(+)E1A_r60_a107	1.23e-23	2.48e-26	8.51e+01		
A_24_P66672	1.23e-23	2.48e-26	8.51e+01	INTS1	integrator complex subunit 1
A_23_P254664	1.28e-23	2.62e-26	8.50e+01	GCG	glucagon
A_24_P305345	1.64e-23	3.39e-26	8.45e+01	CD209	CD209 molecule
A_23_P96271	1.65e-23	3.46e-26	8.45e+01	MYOM1	myomesin 1
